A1,A2,A3,B1,B2,B3,C1,C2,C3, 
8,10,3,5,4,2,0,0,1,
7,9,3,6,5,2,1,1,1,
6,9,3,5,6,1,1,0,0,
7,9,3,5,4,1,1,1,1,
7,10,2,4,5,2,1,1,0,
8,8,3,5,4,2,1,2,1,
8,9,3,4,5,1,1,2,0,
8,9,3,4,6,2,2,0,1,
7,9,3,4,6,2,2,0,1,
8,9,3,6,6,2,0,1,1,
7,9,3,4,4,2,1,2,0,
8,9,3,4,5,2,1,2,1,
8,9,3,4,5,2,1,2,1,
8,9,3,6,5,2,0,1,1,
8,10,3,4,6,2,1,1,0,
6,8,3,4,5,1,1,1,1,
7,8,3,4,5,1,0,0,0,
8,8,3,5,5,2,1,1,0,
8,9,3,5,5,1,1,1,1,
7,8,3,4,5,1,1,2,0,
7,8,3,5,3,1,1,1,0,
7,9,3,5,5,2,1,1,0,
8,9,3,4,5,1,1,1,1,
7,10,3,4,6,1,1,0,1,
8,9,3,5,5,2,0,1,0,
7,6,1,4,3,1,1,1,0,
5,6,2,2,2,1,0,0,0,
7,8,3,2,2,1,1,0,0,
7,8,3,1,2,1,1,0,1,
7,7,3,2,3,2,0,0,1,
8,7,3,2,2,2,0,1,0,
6,8,4,2,2,1,0,1,0,
7,7,3,3,2,1,1,2,0,
6,8,3,2,2,1,1,0,0,
7,8,3,2,2,0,1,1,0,
7,8,3,3,1,1,1,0,1,
7,5,2,1,1,0,1,0,1,
5,6,3,2,1,1,1,0,0,
6,7,2,2,1,1,0,1,0,
6,7,4,2,2,1,0,0,0,
7,7,2,2,2,1,0,1,1,
8,6,4,3,2,2,2,0,0,
7,7,3,2,2,0,0,1,0,
7,8,4,1,2,0,1,2,1,
6,7,2,0,2,1,0,1,0,
6,5,3,1,1,1,1,1,0,
6,8,3,1,1,1,1,1,0,
8,8,4,1,2,0,0,2,1,
8,9,2,2,3,1,1,1,0,
6,8,4,2,2,2,0,1,0,
7,8,3,3,4,3,0,0,0,
6,8,3,3,3,1,0,0,1,
8,8,3,2,2,1,1,0,0,
7,6,3,2,2,1,0,0,0,
7,6,4,2,2,1,1,0,0,
8,8,4,1,4,1,0,0,0,
6,7,3,2,2,2,0,0,0,
8,8,5,1,2,1,1,1,0,
7,9,3,1,2,1,0,1,1,
8,10,4,1,2,1,0,0,0,
9,10,4,2,3,2,0,0,0,
10,8,4,1,4,1,0,0,0,
10,8,5,3,3,2,0,1,0,
10,7,3,4,3,1,0,0,0,
