A1,A2,A3,B1,B2,B3,C1,C2,C3,
291,28,31,208,43,17,18,20,14,
321,26,25,156,37,16,15,20,11,
346,25,24,135,40,15,14,18,11,
362,26,17,127,39,13,14,20,8,
382,32,21,116,35,10,14,19,9,
398,32,19,108,39,10,16,20,10,
413,33,22,99,39,11,15,20,10,
421,32,20,90,40,10,16,20,11,
426,31,20,82,42,12,15,21,11,
428,32,21,77,40,11,14,20,10,
429,33,20,68,43,12,12,16,10,
427,31,18,55,41,13,15,16,9,
419,30,19,52,41,13,14,16,10,
423,30,19,47,40,12,15,17,10,
432,31,18,45,41,12,15,18,10,
431,32,21,44,40,12,15,16,10,
431,32,21,43,42,12,14,17,10,
433,32,19,43,42,11,15,18,8,
437,32,19,44,44,12,14,17,10,
441,29,19,44,43,12,16,18,10,
442,30,22,45,44,13,16,20,10,
437,29,21,46,44,13,15,17,11,
433,29,21,45,42,14,15,15,11,
428,30,23,44,42,13,16,16,11,
432,30,24,42,43,15,16,17,10,
438,31,25,44,43,14,16,16,11,
443,29,26,46,42,14,17,16,11,
444,30,26,50,40,13,17,18,11,
446,31,24,55,38,14,18,16,10,
451,33,27,62,38,15,16,16,10,
450,38,29,70,40,15,16,15,11,
451,35,28,84,42,15,16,15,10,
451,37,29,96,44,14,18,15,10,
453,36,26,108,44,13,16,14,11,
448,32,26,124,42,15,19,15,11,
432,32,26,141,40,15,22,19,10,
413,30,27,158,42,15,25,17,11,
386,27,26,193,44,16,27,17,11,
337,23,23,233,39,15,31,22,10,
262,21,20,283,42,15,32,26,10,
191,17,22,326,45,16,34,30,12,
141,17,23,368,48,18,31,38,12,
91,14,23,411,50,18,31,42,13,
62,13,24,443,53,17,26,50,14,
46,13,24,479,54,18,20,54,14,
36,13,26,505,56,20,19,58,13,
29,12,28,526,57,18,27,59,13,
19,9,22,514,51,22,48,63,13,
16,4,21,497,50,21,81,69,14,
14,4,16,477,47,22,132,75,16,
12,6,20,451,48,21,173,76,17,
10,3,16,431,42,17,206,75,17,
10,4,14,432,46,19,220,77,18,
9,4,13,449,46,20,222,73,18,
9,3,13,458,48,19,228,70,20,
9,2,12,450,45,17,238,66,18,
8,3,8,438,46,18,249,67,17,
8,3,10,442,50,18,236,71,18,
7,3,9,457,53,19,213,71,18,
6,2,9,483,57,18,177,71,18,
6,2,9,504,65,20,137,69,18,
6,4,6,532,75,19,85,68,16,
4,2,6,555,87,20,51,59,14,
3,2,5,568,117,23,33,48,13,
2,2,6,573,160,26,23,40,8,
1,1,4,572,216,30,15,27,9,
2,1,6,571,282,36,10,22,9,
