A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
0,3,6,1,0,8,2,4,11,0,3,0,0,0,0,0,23,16,
2,3,8,0,1,9,4,6,14,0,2,0,0,0,0,0,25,16,
1,4,8,0,1,10,4,5,14,0,3,1,0,0,0,0,27,17,
1,4,7,1,1,9,5,5,13,0,2,0,0,0,0,0,26,18,
2,2,7,1,2,11,4,5,14,0,2,0,0,0,0,0,26,18,
1,2,7,1,2,11,4,5,12,0,1,1,0,0,0,0,25,17,
0,2,6,2,2,11,5,4,15,0,2,0,0,0,0,0,25,16,
0,1,6,0,1,12,4,4,14,0,3,0,0,0,0,0,26,18,
2,3,7,3,3,13,6,6,16,0,2,0,0,0,0,0,24,19,
1,2,6,1,3,13,4,6,15,0,4,1,0,0,0,0,29,18,
0,3,5,1,2,14,6,7,15,0,4,0,0,0,0,0,29,20,
1,2,5,2,2,14,5,6,15,0,2,0,0,0,0,0,31,21,
0,1,5,1,3,17,4,5,16,0,2,0,0,0,0,0,34,18,
0,1,3,2,2,25,6,7,20,0,3,0,0,0,0,0,37,23,
1,1,4,5,4,45,7,8,25,0,5,2,0,1,1,0,44,38,
0,0,2,8,15,76,10,13,33,0,6,5,0,2,3,0,62,76,
0,1,15,9,19,93,11,15,45,0,10,9,0,3,6,0,78,124,
0,5,31,9,23,117,14,29,56,0,16,15,0,5,9,0,93,174,
2,9,56,9,26,131,16,37,64,0,18,18,0,6,11,0,101,204,
4,10,85,8,32,140,14,43,73,0,21,21,0,6,15,0,112,229,
2,14,121,8,37,159,16,50,87,0,24,23,0,6,16,0,116,246,
3,16,151,9,37,173,16,51,98,0,24,26,0,10,18,0,124,261,
4,17,168,10,39,192,18,52,108,0,22,26,0,10,20,0,127,273,
6,18,182,11,34,202,19,52,109,0,26,27,0,11,21,0,136,281,
4,21,197,9,40,218,19,54,116,0,28,30,0,11,22,0,137,282,
4,20,206,10,39,229,20,52,122,0,32,33,0,12,23,0,146,286,
4,22,220,9,38,238,20,52,126,0,32,33,0,13,24,0,148,294,
4,22,229,9,36,248,20,53,130,0,33,34,0,13,24,0,153,298,
4,21,241,11,35,253,20,56,130,0,33,34,0,14,26,0,153,304,
5,21,245,10,37,261,19,58,136,0,33,35,0,14,27,0,158,308,
5,24,252,10,37,262,21,59,135,0,34,35,0,15,27,0,159,308,
3,24,257,10,38,267,21,61,135,0,33,36,0,15,26,0,161,313,
4,28,260,10,42,269,21,61,138,0,34,36,0,16,27,0,163,314,
6,28,267,11,40,275,21,60,139,0,35,35,0,15,27,0,163,317,
6,27,269,10,40,279,20,61,141,0,35,37,0,15,28,0,163,319,
6,28,277,10,39,281,21,59,142,0,34,37,0,16,29,0,164,318,
4,28,278,10,40,284,20,63,142,0,34,38,0,16,30,0,168,320,
5,30,279,10,42,287,21,64,144,0,33,36,0,18,30,0,169,322,
4,30,284,10,41,290,21,64,146,0,33,36,0,15,29,0,168,322,
6,28,285,10,40,291,20,63,147,0,34,38,0,16,30,0,165,323,
6,29,287,10,42,294,22,64,148,0,33,37,0,17,30,0,167,323,
5,32,291,11,46,294,21,65,149,0,34,36,0,16,31,0,170,325,
5,28,276,9,38,289,20,62,145,0,33,34,0,15,27,0,171,325,
2,19,198,4,23,256,15,46,129,1,26,26,0,12,22,8,144,295,
3,19,178,4,22,240,14,37,122,0,24,22,0,9,18,0,134,261,
3,11,117,6,15,195,15,24,101,0,16,10,0,4,8,0,85,173,
0,7,21,3,7,94,11,10,70,0,7,5,0,0,0,0,45,69,
0,1,5,2,2,13,4,8,27,0,5,1,0,0,0,0,16,4,
0,1,4,0,0,0,0,0,3,0,6,0,0,0,0,0,7,0,
2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
1,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
1,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
