A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
3,1,5,1,0,0,3,0,4,0,2,0,0,0,0,0,4,0,
4,3,7,0,0,0,3,2,5,0,1,0,0,0,0,0,5,2,
4,4,7,0,0,0,3,2,5,0,2,0,0,0,0,0,4,1,
2,2,6,0,0,1,3,1,6,0,3,0,0,0,0,0,4,1,
3,3,7,0,0,1,4,2,5,0,1,0,0,0,0,0,4,1,
3,2,7,0,0,0,5,2,3,0,2,1,0,0,0,0,4,2,
2,3,6,0,0,0,4,2,5,0,0,1,0,0,0,0,4,1,
2,2,7,0,0,1,4,2,5,0,1,1,0,0,0,0,4,2,
3,3,6,0,0,1,4,3,5,0,3,0,0,0,0,0,5,0,
3,3,6,0,0,1,3,3,5,0,2,0,0,0,0,0,4,1,
3,3,7,0,0,0,4,3,5,0,2,1,0,0,0,0,5,1,
3,3,6,0,0,1,5,2,5,0,1,0,0,0,0,0,4,1,
3,2,7,0,0,1,3,1,5,0,2,0,0,0,0,0,5,1,
2,2,6,0,0,1,3,3,5,0,2,1,0,0,0,0,2,1,
2,3,6,0,0,0,4,3,4,0,1,0,0,0,0,0,4,0,
3,3,6,0,0,0,3,3,5,0,4,0,0,0,0,0,5,1,
2,3,6,0,0,0,4,2,6,0,1,0,0,0,0,0,5,2,
2,4,5,0,0,1,4,2,5,0,1,0,0,0,0,0,5,2,
3,2,6,0,0,1,4,2,5,0,0,0,0,0,0,0,4,2,
4,1,7,0,0,0,4,1,5,0,2,0,0,0,0,0,6,1,
3,2,8,0,0,1,3,2,3,0,1,0,0,0,0,0,5,0,
5,3,7,0,0,0,2,2,4,0,0,0,0,0,0,0,4,1,
4,2,7,0,0,2,2,1,5,0,1,0,0,0,0,0,4,0,
3,3,8,0,0,1,4,1,4,0,0,0,0,0,0,0,4,1,
4,1,7,0,0,0,4,1,3,0,1,0,0,0,0,0,3,1,
3,1,8,0,0,1,2,0,4,0,1,0,0,0,0,0,6,1,
3,3,8,0,0,1,3,2,5,0,3,0,0,0,0,0,6,3,
3,1,9,0,0,0,3,0,3,0,4,2,0,0,0,0,9,5,
4,1,9,0,0,1,4,2,6,0,8,6,0,0,0,0,10,8,
4,2,7,0,0,0,4,2,4,1,10,9,0,0,0,1,13,9,
2,1,7,0,0,0,2,0,4,0,11,10,0,0,0,0,16,11,
2,2,8,0,0,1,3,2,5,0,16,16,0,0,0,0,20,13,
2,1,7,0,0,1,3,1,5,0,17,20,0,0,0,0,24,14,
3,3,9,0,0,1,3,1,5,0,18,24,0,0,0,0,28,14,
3,3,7,0,0,1,3,1,4,0,19,27,0,0,0,0,29,18,
1,4,7,0,0,2,4,1,4,0,19,28,0,0,0,0,30,17,
2,4,8,1,0,3,3,1,4,0,21,29,0,0,0,0,31,19,
2,3,7,0,0,1,3,1,5,0,22,33,0,0,0,0,31,20,
2,3,8,0,0,1,2,2,3,0,24,31,0,0,0,0,32,20,
3,3,8,0,0,2,2,1,4,0,23,31,0,0,0,0,35,20,
3,3,9,0,0,1,2,2,5,0,23,30,0,0,0,0,32,18,
2,2,7,0,0,2,2,1,4,0,23,31,0,0,0,0,31,20,
2,1,7,0,0,1,3,0,4,0,24,31,0,0,0,0,33,22,
3,1,6,0,0,1,3,3,7,0,23,28,0,0,0,0,32,19,
1,1,2,1,1,1,2,1,4,0,22,29,0,0,0,0,32,19,
1,0,2,0,0,1,5,0,6,0,22,26,0,0,0,0,31,18,
0,0,3,1,0,2,3,0,4,0,18,18,0,0,0,0,29,16,
1,0,3,0,0,2,1,0,2,0,15,10,0,0,0,0,25,13,
1,1,3,0,0,1,1,0,3,0,11,8,0,0,0,0,16,10,
0,0,3,0,0,1,1,0,3,0,10,6,0,0,0,0,15,9,
1,0,5,0,0,1,1,0,1,0,5,3,0,0,0,0,9,6,
4,1,4,0,0,2,1,0,3,0,3,1,0,0,0,0,6,3,
2,2,3,0,0,0,0,1,3,0,1,1,0,0,0,0,3,1,
3,1,5,0,0,2,0,0,2,0,1,0,0,0,0,0,3,1,
2,0,5,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,
3,0,4,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,
1,0,4,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,
2,0,5,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,
2,2,5,0,0,0,2,1,5,0,1,0,0,0,0,0,0,0,
3,3,6,0,0,1,3,2,5,0,0,0,0,0,0,0,0,0,
3,1,6,0,0,0,4,1,5,0,1,0,0,0,0,0,0,0,
3,1,5,0,0,0,4,2,3,0,1,0,0,0,0,0,0,0,
2,2,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,
2,0,4,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,
3,0,6,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,
4,1,5,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,
4,3,5,2,0,1,5,1,4,0,0,0,0,0,0,0,0,0,
5,5,7,1,2,4,6,5,8,0,0,0,0,0,0,0,0,0,
3,5,7,2,4,4,6,5,5,0,0,0,0,0,0,0,0,0,
7,7,7,4,5,5,3,1,3,0,1,0,0,0,0,0,0,0,
8,10,9,5,6,8,2,4,4,0,0,0,0,0,0,0,0,0,
7,12,12,5,5,6,3,3,2,0,2,0,0,0,0,0,0,0,
7,14,13,6,9,7,2,4,3,0,1,0,0,0,0,0,0,0,
8,15,14,5,10,8,3,6,4,0,1,0,0,0,0,0,1,0,
9,17,13,8,11,11,5,7,5,0,0,0,0,0,0,0,0,0,
10,17,13,9,10,10,6,8,6,0,1,0,0,0,0,0,2,0,
10,22,18,10,14,11,7,8,6,0,0,0,0,0,0,0,0,0,
11,22,17,11,15,12,4,7,5,0,0,0,0,0,0,0,1,0,
12,27,19,13,17,11,6,8,5,0,1,0,0,0,0,0,1,0,
13,28,19,11,15,11,8,9,7,0,1,0,0,0,0,0,1,0,
13,28,19,12,17,11,7,9,7,0,1,0,0,0,0,0,1,0,
14,30,21,13,17,10,7,11,9,0,2,0,0,0,0,0,1,0,
13,30,22,13,17,12,8,11,6,0,0,0,0,0,0,0,2,0,
13,31,20,14,20,12,7,12,6,0,0,0,0,0,0,0,2,0,
12,30,19,13,19,13,7,11,8,0,0,0,0,0,0,0,0,0,
