A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,13,11,3,
0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,18,19,6,
0,0,0,0,0,0,1,2,8,0,0,0,0,0,0,17,18,4,
0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,11,9,2,
0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,3,3,0,
0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,16,11,1,
0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,19,14,4,
0,0,0,0,0,0,2,3,4,0,0,2,0,0,0,24,26,16,
0,1,1,0,0,0,2,2,4,0,2,2,0,0,0,22,32,22,
0,4,1,0,0,0,2,2,2,0,4,1,0,0,0,19,42,26,
1,2,1,0,0,0,2,2,1,0,3,3,0,0,0,22,47,30,
0,2,2,0,0,0,3,4,1,0,4,4,0,0,0,28,54,35,
1,2,2,0,0,0,3,3,3,0,4,4,0,0,0,30,58,38,
1,4,1,0,0,0,0,4,2,0,5,5,0,0,0,29,61,38,
0,4,2,0,0,0,2,5,3,0,6,6,0,0,0,27,60,39,
1,3,1,0,0,0,2,4,4,1,7,7,0,0,0,27,58,42,
0,1,2,0,0,0,2,4,5,1,9,10,0,0,0,34,66,49,
2,4,1,0,1,0,3,6,5,1,9,8,0,0,0,30,70,52,
1,5,2,0,0,0,3,8,8,2,11,10,0,0,0,32,76,59,
1,6,4,0,1,0,3,9,10,1,11,10,0,0,0,31,78,65,
1,6,4,0,0,0,5,10,8,0,13,13,0,0,0,28,84,70,
2,5,5,0,0,0,6,10,10,1,14,14,0,0,0,25,85,76,
1,8,4,0,1,1,8,10,11,1,15,18,0,0,0,27,88,80,
2,6,4,0,0,0,5,10,11,2,15,17,0,0,0,32,92,81,
2,8,5,0,1,1,4,11,11,1,14,17,0,0,0,27,91,84,
2,7,3,1,0,0,5,10,11,1,16,19,0,0,0,27,93,87,
0,6,2,0,1,0,4,9,10,1,16,19,0,0,0,26,96,90,
0,6,3,0,1,1,3,9,10,1,18,20,0,0,0,28,98,93,
2,5,4,0,0,0,4,10,10,1,16,20,0,0,0,29,100,92,
1,6,3,1,0,0,5,8,10,2,18,20,0,0,0,26,99,94,
2,6,4,0,0,1,5,9,11,2,18,21,0,0,0,23,98,94,
0,5,3,0,1,0,4,9,8,1,18,22,0,0,0,29,99,94,
1,6,4,0,0,0,4,9,12,1,18,20,0,0,0,27,100,99,
0,5,3,0,1,0,5,11,12,1,18,23,0,0,0,28,101,98,
1,8,5,0,1,1,5,11,12,0,19,23,0,0,0,24,100,98,
2,7,4,0,1,1,5,10,11,2,19,24,0,0,0,24,102,98,
2,6,5,1,0,0,4,9,10,2,18,23,0,0,0,26,104,101,
1,7,4,0,0,1,4,8,11,2,20,26,0,0,0,29,104,102,
0,7,4,0,1,1,5,7,9,1,21,26,0,0,0,29,106,103,
1,7,5,0,1,0,4,7,10,1,20,25,0,0,1,29,105,105,
0,8,3,0,0,0,4,9,9,1,20,26,0,0,0,30,105,106,
2,7,3,0,0,0,4,9,8,2,20,24,0,0,0,29,103,105,
1,6,3,0,0,0,3,8,8,3,18,23,0,0,0,31,103,104,
1,6,4,0,1,0,4,8,7,2,18,23,0,0,0,30,100,101,
1,6,4,0,0,0,3,7,6,1,18,23,0,0,0,29,100,97,
0,6,4,0,1,0,4,6,6,2,18,22,0,0,0,31,101,96,
2,8,4,0,0,0,3,7,7,1,16,21,0,0,0,32,97,93,
1,8,2,0,1,0,3,6,5,2,17,21,0,0,0,28,95,91,
0,7,3,0,0,0,3,5,4,3,16,20,0,0,0,30,96,90,
0,7,3,0,1,0,3,7,5,2,16,20,0,0,0,32,91,86,
1,7,3,0,2,0,2,6,5,2,15,19,0,0,0,33,91,83,
1,7,4,0,1,1,3,7,7,3,15,17,0,0,0,30,89,81,
0,7,4,0,1,0,3,6,7,2,13,18,0,0,0,29,83,74,
0,6,3,0,1,0,3,7,7,1,15,16,0,0,0,28,82,73,
2,7,4,0,0,0,4,6,7,1,14,14,0,0,0,27,80,68,
2,6,3,0,0,1,4,6,5,2,12,14,0,0,0,27,77,64,
1,7,4,0,0,0,4,5,5,2,13,13,0,0,0,27,74,61,
2,6,5,0,0,1,4,5,7,2,12,12,0,0,0,26,73,58,
1,7,3,0,0,0,3,5,6,1,9,10,0,0,0,25,60,49,
0,7,3,0,0,0,3,3,4,0,5,6,0,0,0,19,44,36,
0,5,3,0,0,0,3,3,4,0,4,7,0,0,0,11,40,33,
1,6,2,0,0,0,4,5,3,0,4,3,0,0,0,11,33,24,
1,4,2,0,0,0,1,4,2,0,1,2,0,0,0,4,16,10,
0,4,1,0,0,0,1,3,1,0,0,0,0,0,0,1,6,1,
1,5,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,
0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,
1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,6,3,
1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,19,7,
0,2,0,0,0,0,0,6,5,0,0,0,0,0,0,5,42,10,
0,2,1,0,0,0,2,13,17,0,1,0,0,0,0,12,66,22,
0,3,2,0,0,0,6,35,23,0,1,0,0,0,0,14,94,38,
0,6,3,0,0,0,8,49,30,0,3,2,0,0,0,19,123,60,
1,4,3,0,0,0,10,64,38,0,4,1,0,0,0,22,143,88,
0,3,4,0,0,3,9,77,48,0,4,2,0,0,0,28,159,104,
0,5,2,0,0,3,11,93,50,0,7,3,0,0,0,32,167,120,
1,7,4,0,1,5,11,106,55,0,4,3,0,1,1,37,179,125,
0,6,5,0,4,9,11,117,59,0,4,2,0,2,0,40,188,137,
0,7,5,0,6,15,12,126,66,0,5,3,0,3,3,43,197,142,
0,10,4,0,8,18,12,140,66,0,4,3,0,4,3,50,200,150,
0,8,3,2,13,27,11,146,71,0,2,2,1,6,5,55,202,152,
1,6,4,1,19,35,14,156,72,0,1,1,0,8,6,58,209,156,
0,5,4,3,22,36,15,161,72,0,1,0,1,9,7,64,209,163,
1,5,3,2,27,44,16,165,76,0,1,1,2,10,7,63,211,166,
0,4,3,3,30,49,15,169,73,0,1,0,3,12,8,65,211,168,
0,5,3,3,33,48,15,171,75,0,1,1,4,12,9,73,216,168,
0,4,3,3,38,54,13,169,77,0,1,2,3,13,10,78,216,166,
0,3,4,5,40,55,11,173,78,0,0,1,4,13,11,74,218,170,
1,4,3,5,41,57,13,173,76,0,0,1,4,14,12,76,212,170,
0,4,2,6,42,62,12,174,78,0,0,1,5,13,9,83,214,169,
0,2,3,3,31,48,11,165,76,0,3,2,2,9,5,81,214,160,
0,3,2,1,17,35,9,148,71,0,4,3,2,6,3,66,191,140,
0,4,4,0,17,37,7,122,57,0,1,0,0,6,4,51,162,119,
0,2,2,1,15,26,5,85,38,0,0,0,0,1,0,21,115,69,
0,1,2,0,2,3,5,47,22,0,0,0,0,0,0,7,53,18,
0,2,1,0,0,0,1,10,4,0,0,0,0,0,0,0,12,5,
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,5,
0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,2,44,5,
0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,44,3,
0,1,0,0,0,0,1,5,4,0,1,0,0,0,0,3,46,4,
0,0,1,0,0,0,1,3,4,0,0,0,0,0,0,6,59,1,
0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,11,61,5,
0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,20,75,9,
0,0,0,0,1,10,0,2,9,0,0,0,0,1,0,28,96,12,
0,0,0,1,2,24,0,5,14,0,4,0,0,2,0,40,116,12,
0,0,0,2,1,39,2,4,21,0,3,0,0,3,0,67,138,11,
0,0,3,1,2,51,2,4,23,0,5,0,1,4,0,85,150,12,
0,0,5,2,5,57,2,4,24,0,6,0,2,4,0,101,159,15,
0,0,5,3,3,65,1,3,26,1,4,0,3,5,0,118,171,15,
0,0,8,2,4,68,2,4,28,2,6,0,3,5,0,132,180,16,
0,0,8,1,3,80,2,4,30,4,9,0,4,7,0,149,188,14,
0,0,10,4,2,88,3,2,29,4,8,0,5,6,0,160,192,16,
0,0,12,4,3,94,4,4,30,4,7,0,5,6,0,172,206,22,
0,0,11,3,3,99,6,5,33,3,6,0,4,7,0,175,221,22,
0,0,12,4,3,108,4,5,35,2,5,0,7,9,0,183,236,25,
0,0,12,3,2,118,4,5,39,4,8,0,7,10,0,186,239,21,
0,0,13,4,2,125,5,5,40,3,7,0,8,11,0,191,248,20,
0,0,14,3,3,128,4,7,40,3,10,0,6,11,0,194,249,19,
0,0,14,3,6,131,4,6,43,4,10,0,8,12,0,197,255,18,
0,0,13,4,4,131,4,6,44,3,9,0,7,10,0,201,265,15,
0,0,11,3,6,137,4,7,45,4,10,0,8,11,0,198,272,14,
0,0,13,3,8,139,4,10,46,4,11,0,8,13,0,200,279,19,
0,0,15,3,7,141,3,8,47,5,12,0,9,13,0,205,284,22,
0,0,15,3,6,144,2,7,50,4,11,0,9,14,0,205,289,22,
0,0,17,5,8,147,3,5,47,5,10,0,8,14,0,210,291,22,
0,0,15,3,9,150,2,8,47,4,13,0,9,15,0,212,294,20,
0,0,16,5,10,151,3,8,51,6,10,0,10,15,0,207,292,18,
0,0,16,4,12,154,4,8,52,6,15,0,11,15,0,207,290,21,
0,0,16,6,9,154,4,9,52,5,15,0,11,15,0,203,289,20,
0,0,17,3,11,155,3,8,51,6,13,0,10,15,0,206,290,21,
0,0,17,3,10,156,3,10,52,5,15,0,10,16,0,203,289,19,
1,0,18,2,8,155,2,8,53,6,16,0,9,15,1,202,288,17,
0,0,20,4,11,156,3,8,51,5,12,0,10,15,0,203,284,15,
0,0,20,5,11,155,4,8,54,3,10,0,10,16,0,200,282,21,
