A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
2,4,6,0,0,0,3,3,5,0,4,1,0,0,0,0,29,11,
3,4,5,0,1,1,3,3,5,0,4,0,0,0,0,0,34,12,
3,3,8,1,1,2,4,3,3,0,5,1,0,0,0,2,39,13,
4,6,7,1,1,1,4,6,6,0,4,2,0,0,0,1,39,15,
4,6,7,1,1,1,6,5,5,0,4,1,0,0,0,0,41,14,
4,6,6,1,2,1,4,4,6,0,4,1,0,0,0,0,43,12,
3,7,9,0,0,1,5,6,5,0,4,1,0,0,0,1,44,18,
4,6,8,0,2,1,4,3,5,0,4,1,0,0,0,0,38,12,
2,5,8,0,1,1,4,4,5,0,3,0,0,0,0,0,31,12,
4,5,9,1,2,2,4,5,5,0,3,0,0,0,0,0,22,8,
4,6,9,1,1,1,4,3,6,0,2,0,0,0,0,0,17,4,
3,6,10,1,1,2,4,4,4,0,1,0,0,0,0,0,8,1,
4,6,10,0,1,2,3,3,6,0,1,0,0,0,0,0,2,0,
3,7,9,1,0,1,3,4,4,0,1,0,0,0,0,0,0,0,
4,5,9,0,1,1,4,4,4,0,1,0,0,0,0,0,0,0,
4,2,8,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,
2,0,7,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,
4,2,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2,1,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
1,3,4,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,
2,1,3,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,
1,0,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
1,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
3,2,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
3,1,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,
4,2,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
4,1,8,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,
3,2,8,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,
4,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
4,4,8,0,0,2,0,0,1,0,2,0,0,0,0,0,1,0,
3,2,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
2,1,6,0,0,1,0,0,0,0,5,1,0,0,0,0,1,0,
3,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,
1,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,5,1,
0,0,2,0,0,0,1,0,1,0,5,1,0,0,0,0,7,0,
2,0,0,0,0,0,2,1,2,0,4,0,0,0,0,0,10,0,
0,0,0,0,0,1,1,0,3,0,3,0,0,0,0,0,13,3,
0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,0,17,6,
0,0,1,0,0,2,3,0,2,0,2,1,0,0,0,0,22,7,
0,0,0,0,0,0,2,3,5,0,2,0,0,0,0,0,25,7,
1,2,3,0,0,0,4,1,5,0,3,0,0,0,0,0,35,6,
1,1,3,0,0,2,5,1,5,0,2,0,0,0,0,0,41,11,
1,1,4,0,0,1,3,5,6,0,4,1,0,0,0,0,46,11,
4,6,6,0,0,1,5,4,5,0,4,2,0,0,0,0,48,14,
5,5,9,0,0,0,5,2,5,0,4,1,0,0,0,0,49,15,
7,6,10,0,0,0,4,3,5,0,5,2,0,0,0,0,52,18,
6,8,9,0,1,0,5,3,4,0,4,2,0,0,0,1,54,19,
8,11,9,1,1,0,4,3,3,0,6,0,0,0,0,1,55,17,
7,12,11,1,1,1,3,4,3,0,5,1,0,0,0,1,55,19,
8,12,11,0,1,2,4,3,3,0,5,1,0,0,0,1,56,17,
9,16,10,0,2,2,5,4,4,0,6,1,0,0,0,0,52,17,
8,18,12,0,1,1,4,5,2,0,5,0,0,0,0,0,50,16,
8,16,10,1,1,1,6,4,3,0,3,1,0,0,0,0,50,17,
9,18,11,1,2,1,5,5,2,0,5,0,0,0,0,0,50,19,
8,15,10,0,1,0,5,4,4,0,5,1,0,0,0,0,53,17,
9,17,10,1,1,0,5,6,2,0,5,0,0,0,0,1,51,18,
6,17,11,0,2,1,4,6,4,0,4,0,0,0,0,0,53,18,
8,18,11,0,2,0,6,6,4,0,4,0,0,0,0,0,53,17,
12,19,11,0,1,1,6,5,4,0,4,1,0,0,0,0,54,19,
