A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
18,76,69,14,26,23,7,14,10,0,24,11,0,0,0,0,50,29,
17,78,72,13,29,26,6,13,11,0,24,13,0,1,0,0,54,32,
18,82,75,15,30,28,7,15,12,0,23,10,0,0,0,0,63,33,
17,82,75,15,33,29,9,17,13,0,23,12,0,1,1,0,65,39,
19,81,77,15,35,30,9,17,14,0,25,13,0,1,0,20,69,39,
15,80,69,14,35,27,8,17,12,0,21,9,0,0,0,0,64,32,
12,68,52,10,29,22,7,13,9,0,10,4,0,0,0,0,39,20,
8,44,38,7,17,15,5,9,7,0,6,3,0,0,0,0,23,11,
6,28,26,5,15,13,3,6,7,0,5,0,0,0,0,0,10,4,
5,16,14,4,11,11,3,4,4,0,2,1,0,0,0,0,2,0,
2,6,10,3,5,6,2,3,1,0,1,0,0,0,0,0,2,0,
2,2,6,1,1,4,3,1,3,0,0,0,0,0,0,0,0,0,
2,0,4,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,
2,0,4,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,
2,0,3,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,
1,0,3,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,
1,0,4,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,
1,0,5,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,
0,0,7,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,
1,0,7,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,
1,0,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
0,0,3,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,
0,0,5,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,
2,6,7,0,0,0,2,2,3,0,3,1,0,0,0,0,3,2,
5,9,5,1,1,1,2,3,1,0,3,0,0,0,0,0,4,2,
6,10,5,1,2,1,3,2,2,0,5,2,0,0,0,0,3,2,
4,13,13,1,3,3,3,2,3,0,5,2,0,0,0,0,7,3,
10,16,15,1,3,4,3,4,3,0,5,1,0,0,0,1,6,2,
10,17,17,4,4,6,3,3,4,0,2,1,0,0,0,0,8,4,
14,16,18,4,4,5,4,3,3,1,3,1,0,0,0,4,8,9,
13,24,26,4,5,6,5,4,5,1,3,4,0,0,0,4,7,10,
14,28,31,4,6,8,6,4,4,0,7,3,0,0,0,0,12,9,
18,30,34,5,8,10,5,5,4,0,6,4,0,0,0,3,13,10,
19,38,40,6,10,10,6,6,6,1,7,6,0,0,0,3,15,9,
20,41,43,7,10,10,7,6,7,2,11,7,0,0,0,3,18,12,
18,49,47,6,11,10,5,7,6,1,12,7,0,0,0,5,24,15,
17,55,50,5,14,13,6,9,7,2,12,8,0,0,0,7,31,19,
20,58,57,7,19,17,8,10,8,3,13,8,0,0,0,10,33,21,
23,72,67,11,23,19,7,11,8,5,15,11,0,0,0,16,40,27,
23,77,73,13,27,24,9,15,10,7,16,13,0,0,0,31,52,31,
21,83,79,14,30,31,9,17,15,13,30,20,0,0,1,45,62,34,
20,94,92,15,35,35,8,21,18,15,43,21,0,2,1,54,71,39,
