A1,A2,A3,B1,B2,B3,C1,C2,C3,
592,79,47,148,36,42,44,13,55,
597,80,48,150,34,41,46,13,55,
604,78,46,152,35,39,46,13,54,
612,74,44,151,33,40,47,12,57,
623,80,44,154,34,40,48,12,58,
630,82,45,153,35,42,49,14,59,
631,81,44,155,36,43,49,13,58,
634,85,45,157,35,43,51,14,59,
638,82,43,160,36,42,49,12,57,
643,81,42,160,36,43,50,13,59,
650,81,43,163,36,40,51,11,60,
655,84,45,166,36,41,52,14,57,
661,87,44,167,38,44,52,14,58,
666,89,45,167,38,44,52,14,59,
661,88,44,166,38,44,51,14,60,
651,89,44,166,40,42,53,14,60,
645,88,44,165,39,44,51,15,61,
643,91,44,165,39,42,51,14,60,
641,91,42,162,39,41,50,15,61,
638,89,43,160,39,42,51,14,58,
634,89,43,160,38,42,51,14,60,
640,92,44,159,39,43,53,14,61,
646,96,44,164,40,41,53,15,62,
652,97,42,166,39,39,53,15,60,
656,99,43,166,39,39,55,15,61,
651,99,42,162,41,39,53,15,61,
655,103,42,164,42,39,54,16,61,
662,94,41,165,40,38,54,15,61,
668,98,39,167,42,39,55,16,60,
675,98,39,167,41,38,55,16,59,
676,97,37,171,41,36,54,15,59,
677,95,36,171,40,35,54,15,59,
680,96,37,171,40,35,56,16,60,
682,97,36,171,41,37,56,16,59,
680,99,35,171,41,33,54,16,59,
683,96,32,173,41,32,54,15,60,
686,91,32,172,39,33,55,14,57,
689,89,36,172,38,36,54,15,59,
692,94,36,173,41,36,55,14,59,
694,91,33,175,40,37,56,14,59,
696,92,33,176,40,36,56,13,58,
694,92,33,175,39,36,56,15,59,
696,92,34,178,39,36,56,15,57,
702,92,36,180,38,36,57,14,58,
705,91,35,180,37,37,58,14,57,
712,91,34,185,38,36,58,14,58,
716,94,37,188,38,37,59,13,59,
718,95,37,188,40,40,59,14,58,
718,93,36,191,40,39,58,14,57,
719,93,36,191,38,38,57,15,58,
719,95,36,190,39,39,57,15,57,
721,100,34,191,40,36,58,14,57,
728,103,33,194,42,36,57,14,56,
736,101,33,195,43,34,57,15,57,
738,106,32,196,44,34,58,15,57,
740,105,34,196,43,34,59,14,58,
742,108,33,199,44,36,59,16,59,
743,109,34,202,44,36,60,15,60,
750,106,34,204,44,35,61,15,56,
751,106,34,204,43,35,61,14,61,
751,108,34,203,44,35,60,14,61,
755,113,32,205,44,33,61,16,59,
755,117,33,204,45,33,60,16,57,
754,113,33,202,45,33,59,15,58,
755,111,31,203,45,31,59,15,59,
755,109,32,203,44,32,58,15,60,
756,111,32,204,44,32,59,15,61,
757,115,33,209,45,33,59,16,60,
761,119,33,211,46,33,61,15,60,
763,112,31,213,45,32,60,15,60,
760,112,31,215,47,31,61,15,60,
760,118,30,215,48,31,61,16,61,
763,123,30,217,50,29,61,17,61,
765,125,31,219,50,31,60,16,61,
764,118,30,217,48,32,62,16,63,
760,113,30,216,47,31,59,14,61,
758,114,30,215,49,32,60,14,61,
760,116,28,217,49,31,60,16,61,
757,109,28,216,47,29,60,15,60,
756,112,29,218,47,30,59,16,61,
758,114,28,217,49,29,61,16,59,
766,121,29,217,50,30,61,17,60,
770,128,31,219,52,30,61,16,60,
774,128,31,219,51,29,60,17,59,
766,127,30,218,51,29,60,15,59,
763,129,31,216,50,28,60,17,60,
764,129,29,217,51,28,61,18,59,
768,129,28,217,50,27,61,16,58,
771,128,28,211,49,26,61,18,58,
774,126,27,213,50,27,59,16,59,
777,129,29,215,50,27,59,16,59,
779,129,29,217,51,26,59,17,60,
780,131,29,220,51,29,62,17,60,
780,125,29,221,49,27,60,16,60,
781,123,27,219,49,26,60,16,58,
785,127,29,222,50,27,60,16,60,
785,131,29,225,51,28,61,16,61,
784,132,28,227,52,27,60,16,58,
787,129,28,226,51,27,61,16,58,
787,129,27,227,51,26,62,16,58,
787,130,28,227,51,27,62,16,60,
786,133,26,228,52,26,61,16,60,
787,133,28,228,53,27,63,17,61,
787,133,27,229,52,27,63,17,62,
785,133,28,230,53,27,63,17,62,
786,133,28,230,53,27,63,17,61,
787,132,26,228,51,25,63,17,59,
789,127,27,226,50,26,61,16,61,
787,125,27,225,49,26,62,16,60,
787,127,28,224,49,27,62,17,62,
789,131,28,229,51,26,63,17,60,
786,130,26,229,50,25,62,17,60,
784,128,24,227,49,24,62,17,58,
794,130,26,228,52,26,62,16,59,
798,128,26,231,51,26,62,17,60,
793,123,26,228,49,26,62,17,60,
788,128,28,229,51,25,62,18,60,
790,134,28,230,55,27,62,17,60,
796,132,28,232,51,26,63,18,60,
799,134,29,228,52,28,63,17,60,
800,137,27,230,54,28,62,17,58,
805,139,25,232,54,24,63,18,58,
806,136,25,233,54,25,62,18,57,
808,137,26,235,53,25,62,17,59,
812,136,28,235,53,27,63,17,58,
811,135,28,236,53,27,64,16,61,
813,135,28,236,53,27,64,18,61,
815,137,27,237,55,27,64,18,61,
817,139,27,241,56,27,65,17,61,
819,141,28,243,58,28,66,18,61,
820,143,28,243,56,27,65,17,61,
821,137,27,242,55,27,65,17,60,
821,137,27,242,55,27,66,17,60,
821,140,28,246,56,28,66,18,61,
824,141,27,248,57,27,65,18,61,
822,144,28,248,57,26,66,19,61,
823,138,27,248,55,26,66,16,59,
820,138,27,245,57,26,67,17,58,
823,143,26,248,56,26,65,18,58,
825,143,26,251,59,26,65,17,58,
828,147,26,251,59,26,66,18,61,
826,142,27,250,57,27,66,18,61,
824,143,28,248,59,27,65,19,61,
824,143,28,249,58,27,67,19,59,
826,143,27,252,58,26,67,18,60,
827,138,25,251,56,25,66,18,60,
825,140,25,252,59,25,66,18,61,
826,145,25,255,60,26,67,18,60,
830,146,25,253,59,25,66,17,59,
832,146,26,252,59,24,66,17,59,
832,147,27,253,58,24,67,18,61,
831,143,26,253,58,25,67,18,61,
830,147,27,256,60,25,67,18,61,
835,149,26,253,58,24,66,18,60,
831,141,26,246,57,26,66,18,60,
828,143,26,244,57,24,67,19,60,
829,145,27,248,58,26,67,19,62,
830,147,28,248,58,24,68,17,60,
829,147,26,249,58,25,66,19,61,
831,151,27,250,59,26,68,19,61,
832,147,26,253,59,25,67,18,61,
829,143,24,249,58,22,66,19,61,
828,144,24,247,57,22,65,18,61,
832,144,26,253,58,24,67,18,61,
831,143,25,250,57,23,66,19,60,
825,145,25,246,58,22,66,18,59,
832,153,22,255,60,21,68,19,58,
843,149,22,257,59,20,67,19,56,
839,144,21,259,59,20,66,17,58,
841,145,21,256,58,20,65,16,57,
840,144,22,253,56,21,65,17,58,
836,142,23,253,57,21,64,17,57,
833,146,24,255,59,20,66,19,58,
842,151,23,260,61,21,68,18,58,
847,155,23,265,63,21,68,19,59,
850,158,23,269,63,19,68,19,57,
851,156,22,265,63,20,68,18,58,
854,159,22,266,64,20,68,19,59,
854,161,22,266,64,21,70,18,59,
856,163,23,267,65,21,68,18,58,
854,156,22,267,64,21,67,18,58,
851,154,21,266,62,21,67,18,58,
849,155,21,263,62,21,68,19,60,
851,155,23,264,62,21,68,18,60,
851,153,22,265,61,21,69,17,57,
844,154,20,256,60,19,67,18,56,
842,158,21,253,61,18,67,18,57,
849,161,22,260,63,20,67,19,57,
854,161,23,267,63,20,68,19,58,
854,153,23,266,62,20,68,18,58,
846,150,22,262,61,21,67,19,58,
831,148,20,253,60,19,66,19,59,
830,154,21,252,62,21,67,18,58,
835,154,22,260,63,21,67,18,59,
835,150,22,262,63,21,67,19,59,
829,156,21,256,63,20,66,18,57,
830,156,18,251,63,18,65,18,56,
839,159,20,257,64,20,65,18,57,
848,161,22,264,63,21,67,20,57,
849,159,22,268,65,20,68,18,58,
850,166,21,272,67,20,68,19,57,
853,162,20,273,67,19,68,17,57,
852,162,18,266,65,18,66,19,57,
855,166,19,270,67,20,68,18,59,
854,162,20,270,67,20,68,19,59,
855,168,20,274,67,20,68,20,60,
856,164,20,270,65,20,67,19,59,
855,162,21,262,64,20,68,19,59,
855,162,20,265,64,19,68,20,60,
856,161,21,266,65,20,70,19,60,
857,162,22,267,64,20,69,20,61,
861,163,22,269,65,21,69,19,60,
857,159,21,262,63,20,67,19,59,
856,162,22,266,65,19,68,20,61,
858,163,23,266,64,19,69,20,60,
861,166,22,269,66,21,69,20,59,
858,159,22,267,62,21,69,20,61,
851,160,22,261,63,19,68,19,61,
852,157,22,265,63,20,69,20,61,
854,159,22,267,63,21,68,18,61,
854,161,20,265,62,20,68,20,60,
860,160,20,267,63,19,68,20,59,
863,158,20,269,63,20,69,19,61,
864,161,22,269,64,21,70,19,60,
865,161,21,271,64,21,71,20,61,
867,164,21,275,66,19,70,19,60,
864,159,18,267,62,17,69,18,59,
866,161,20,268,64,19,69,19,62,
870,159,22,275,64,19,70,19,61,
869,160,22,273,64,21,69,19,62,
869,162,17,277,66,17,70,19,57,
861,157,16,262,59,16,67,18,56,
852,154,16,256,58,15,66,17,55,
855,155,17,263,63,17,67,18,58,
864,152,23,266,61,20,69,18,60,
866,159,22,266,63,19,71,20,59,
869,163,17,271,65,17,71,19,56,
868,160,17,270,63,17,68,17,56,
867,159,18,271,66,18,68,18,58,
870,156,22,270,62,21,70,19,60,
865,153,22,264,60,21,70,19,59,
865,158,22,272,64,21,71,20,61,
871,163,17,278,65,17,71,19,58,
871,166,16,273,67,18,69,18,58,
870,165,17,277,67,17,67,18,59,
876,163,21,280,66,22,69,19,60,
876,162,20,280,66,21,70,19,61,
875,165,21,283,68,22,70,19,60,
879,169,21,286,70,20,71,19,60,
880,170,17,287,71,18,69,19,58,
880,173,19,288,71,21,70,19,59,
880,168,21,289,70,21,71,20,60,
874,156,21,281,65,21,70,19,60,
868,153,23,277,64,21,70,18,61,
867,162,20,281,69,20,70,20,60,
873,164,16,282,67,18,70,18,59,
879,167,16,283,70,18,68,19,59,
880,170,21,290,72,20,69,20,61,
883,166,21,291,70,21,71,19,61,
