A1,A2,A3,B1,B2,B3,C1,C2,C3,
518,20,5,129,9,4,20,2,2,
522,19,4,131,8,5,19,1,3,
524,21,6,133,10,5,21,1,2,
522,21,4,133,10,5,21,2,3,
518,21,6,134,10,6,21,2,2,
525,22,5,131,10,5,22,2,3,
539,22,6,133,10,6,21,2,2,
544,21,6,134,10,5,23,3,3,
547,21,6,135,10,5,23,2,4,
557,23,5,134,11,4,22,1,2,
565,23,5,135,10,5,22,1,2,
577,23,5,135,9,5,24,0,3,
591,24,6,143,10,5,23,2,2,
600,23,7,145,10,5,25,0,3,
603,23,5,149,10,6,24,1,2,
608,23,5,150,9,5,24,2,3,
611,23,6,152,9,6,26,2,2,
614,23,6,155,10,7,25,2,4,
614,24,6,153,11,7,24,2,2,
608,23,6,155,11,7,25,2,3,
602,23,8,153,11,7,25,1,4,
602,23,7,155,12,7,25,1,3,
605,23,7,156,11,7,25,2,4,
607,23,7,156,11,6,25,3,3,
610,23,8,158,11,6,26,2,3,
617,24,7,160,11,6,27,2,4,
625,26,7,160,10,7,27,3,3,
630,25,7,157,10,7,27,2,4,
632,24,8,162,12,6,26,2,4,
635,24,7,162,11,6,26,2,5,
636,25,7,162,12,6,26,2,4,
640,26,7,163,12,7,27,1,4,
641,25,7,163,10,6,27,3,4,
644,24,7,163,11,6,28,3,3,
645,25,7,162,12,7,27,2,4,
639,24,6,163,10,7,27,1,5,
621,24,6,161,11,7,25,2,4,
612,22,6,155,11,8,25,2,4,
618,22,6,159,12,6,25,1,3,
626,22,7,163,11,7,25,3,3,
629,21,6,165,10,6,26,1,4,
623,22,7,163,12,7,26,2,5,
620,22,6,163,11,7,26,2,3,
622,21,7,162,10,8,25,0,4,
625,23,6,164,11,7,25,1,5,
631,22,6,167,10,8,26,2,4,
637,23,6,166,12,6,27,3,4,
640,23,7,168,12,8,27,2,3,
644,23,6,170,10,7,26,2,4,
640,24,8,169,11,7,27,2,3,
635,24,6,166,12,7,27,3,5,
635,23,6,167,13,8,27,2,4,
641,25,8,168,13,8,26,1,4,
645,25,8,170,12,8,27,3,3,
646,26,8,168,11,7,28,3,5,
651,25,8,170,12,7,27,2,4,
655,26,7,170,10,7,27,2,3,
657,25,7,168,11,7,28,2,4,
666,24,6,173,11,7,27,3,4,
673,25,6,175,13,7,27,2,3,
681,26,8,178,12,7,28,2,4,
684,27,7,180,11,7,29,2,3,
685,25,6,181,12,8,28,1,4,
686,25,7,181,12,6,30,2,4,
689,25,6,183,12,8,30,2,3,
697,26,6,184,12,7,30,3,4,
698,25,7,184,12,7,30,1,4,
699,26,7,184,12,6,31,2,4,
694,25,7,184,11,7,29,2,4,
680,26,7,180,11,7,30,3,4,
675,26,6,177,11,6,29,2,5,
687,26,6,183,12,6,31,2,4,
700,26,7,185,12,7,30,2,4,
702,26,7,185,13,7,30,2,3,
702,27,7,185,12,7,30,2,3,
705,27,6,186,13,6,30,1,4,
706,27,7,188,13,7,30,1,4,
708,27,7,185,12,7,29,2,4,
707,26,7,186,13,7,29,2,3,
710,26,7,185,11,7,29,3,5,
710,27,7,186,12,6,30,1,3,
708,26,6,183,11,7,29,2,4,
710,28,6,184,13,7,30,2,3,
713,26,7,188,12,6,29,2,4,
714,28,8,189,11,7,29,2,4,
710,28,7,185,11,6,28,3,4,
708,28,7,184,12,7,29,2,4,
712,28,6,185,12,7,28,2,3,
718,28,8,188,11,7,28,3,3,
719,29,8,191,13,8,30,3,5,
719,27,6,191,12,6,31,2,5,
715,28,6,190,11,6,30,3,5,
715,26,6,190,11,7,30,2,4,
717,27,7,191,11,7,30,1,4,
723,28,7,190,12,8,31,2,4,
726,27,7,191,12,7,31,2,5,
732,29,7,191,11,6,31,3,4,
731,27,7,191,12,7,31,2,4,
730,28,8,192,12,7,31,2,4,
731,29,7,190,12,8,31,2,4,
733,28,8,190,11,7,30,3,3,
738,29,7,192,12,6,30,2,4,
736,28,8,191,12,6,31,2,5,
731,27,8,189,12,7,31,2,4,
738,29,8,191,12,7,32,1,4,
746,28,7,191,11,6,32,3,3,
752,29,8,195,12,6,31,2,4,
743,27,7,190,12,7,32,2,3,
728,27,8,185,12,7,31,1,2,
731,26,8,187,12,6,32,2,3,
746,29,8,192,12,6,33,3,5,
748,30,8,192,12,6,31,3,2,
750,28,8,193,11,7,31,2,3,
753,29,6,195,12,7,31,1,4,
751,28,6,196,11,6,31,2,3,
749,28,8,193,12,7,30,2,2,
748,28,7,196,11,7,30,2,3,
754,29,7,199,12,7,29,2,3,
760,30,8,200,13,7,31,3,4,
764,29,8,200,12,6,31,3,3,
766,30,9,199,12,6,32,2,3,
771,30,8,202,12,7,32,3,4,
776,30,9,205,12,7,32,2,5,
778,30,8,204,13,7,32,2,5,
779,30,8,204,12,6,32,2,3,
781,30,8,205,12,6,32,3,3,
770,29,7,202,13,8,32,2,3,
766,30,8,201,12,6,33,2,5,
774,31,8,204,12,8,32,3,5,
782,30,8,208,13,7,34,1,4,
779,29,8,207,12,6,33,2,4,
782,32,7,206,13,7,33,2,3,
786,30,7,208,11,7,32,2,3,
779,30,7,204,12,7,32,2,4,
776,28,8,207,11,7,32,2,3,
788,30,7,214,11,7,34,2,4,
795,30,7,211,13,7,34,3,3,
791,30,7,210,12,7,33,3,4,
795,32,9,213,12,6,33,2,5,
798,31,7,212,13,7,33,2,4,
792,31,8,210,13,8,33,3,5,
786,30,9,209,12,8,33,2,4,
789,30,9,211,13,8,32,2,4,
794,32,8,213,12,8,34,3,5,
800,32,9,211,13,8,34,2,4,
803,32,8,211,12,6,33,3,4,
808,32,8,212,13,7,34,2,5,
805,31,8,214,13,6,34,3,5,
789,30,8,206,12,7,33,2,5,
766,29,8,196,12,7,32,2,4,
740,28,6,179,12,7,32,4,5,
702,27,7,160,13,6,29,3,4,
656,26,6,143,14,6,25,4,4,
598,26,6,129,14,6,24,3,4,
532,25,7,107,15,7,24,4,2,
444,22,7,87,13,8,19,4,4,
306,21,6,55,14,10,14,3,2,
146,18,8,32,15,12,10,4,4,
50,15,9,24,15,12,9,3,6,
15,13,11,18,15,15,9,5,6,
18,16,12,23,17,15,10,6,6,
16,17,14,22,19,15,10,7,8,
18,17,15,22,19,15,10,7,7,
18,18,13,24,19,14,10,7,7,
18,19,14,22,20,16,11,7,8,
18,19,14,22,20,15,11,6,7,
16,19,15,22,21,14,11,8,7,
18,20,14,22,22,16,10,9,7,
17,19,14,23,22,16,11,7,6,
17,20,15,24,22,17,11,9,7,
17,19,14,24,23,17,10,8,6,
16,20,15,25,23,17,11,9,8,
17,19,14,23,25,16,12,8,8,
16,21,15,27,24,16,11,7,8,
15,21,14,25,26,17,12,8,7,
17,21,14,27,27,18,13,9,8,
16,21,15,23,26,18,13,9,7,
16,20,15,25,28,18,10,9,6,
15,21,16,24,27,18,12,9,9,
16,20,15,23,27,18,9,8,8,
16,21,15,22,27,18,11,7,8,
15,21,16,22,27,18,11,8,7,
15,20,15,24,26,19,11,8,8,
16,20,15,25,27,18,12,7,9,
16,20,17,25,27,19,11,9,9,
15,21,15,25,27,19,10,7,8,
15,21,16,23,27,20,12,8,8,
13,20,16,26,29,18,11,7,8,
14,21,14,24,29,18,10,7,7,
11,21,15,22,29,20,11,9,8,
13,21,16,23,27,20,11,8,9,
12,21,16,23,29,20,9,9,7,
12,22,16,24,28,20,9,8,8,
13,21,15,24,29,20,10,8,8,
12,21,15,24,30,18,10,8,7,
12,22,16,25,29,20,10,9,8,
12,20,18,25,29,21,11,8,8,
12,21,16,24,31,20,9,8,7,
12,23,17,24,29,20,11,9,7,
14,23,17,24,30,21,11,9,7,
12,23,16,25,28,20,11,8,8,
14,22,16,25,28,21,12,8,7,
14,22,17,27,31,20,11,8,7,
14,21,16,26,31,20,10,8,7,
13,24,15,25,30,17,11,8,8,
13,21,11,19,24,15,11,9,8,
13,24,13,18,22,14,11,7,6,
15,26,12,18,21,12,11,6,8,
15,29,11,17,20,11,10,6,5,
16,31,13,16,19,8,9,7,5,
14,33,13,16,20,7,10,6,6,
15,34,9,14,16,5,10,7,3,
17,39,9,14,17,2,8,7,3,
17,50,13,11,20,5,9,6,2,
17,85,20,12,26,5,9,9,3,
20,147,24,14,37,6,7,11,4,
25,192,24,13,43,7,8,13,5,
23,220,31,13,49,9,8,13,5,
26,250,33,13,51,9,8,13,5,
28,285,34,14,59,9,8,14,4,
